company,ticker,cik,sector,fiscal_year_end,fiscal_year_end_year,revenue_musd,gross_profit_musd,operating_income_musd,net_income_musd,assets_musd,liabilities_musd,equity_musd,accession,filed,source_url,quality_flags
JPMorgan Chase & Co.,JPM,0000019617,Financials,2025-12-31,2025,182447,,,57048,,,,0001628280-26-008131,2026-02-20,https://www.sec.gov/Archives/edgar/data/19617/000162828026008131/jpm-20251231.htm,BANK:TOTAL_NET_REVENUE;NOT_APPLICABLE:GROSS_PROFIT|OPERATING_INCOME
Walmart Inc.,WMT,0000104169,Consumer Staples,2024-01-31,2024,648125,152495,27012,16270,,,,0000104169-26-000055,2026-03-13,https://www.sec.gov/Archives/edgar/data/104169/000010416926000055/wmt-20260131.htm,OK
Walmart Inc.,WMT,0000104169,Consumer Staples,2025-01-31,2025,680985,162785,29348,20157,,,,0000104169-26-000055,2026-03-13,https://www.sec.gov/Archives/edgar/data/104169/000010416926000055/wmt-20260131.htm,OK
Walmart Inc.,WMT,0000104169,Consumer Staples,2026-01-31,2026,713163,171018,29825,22270,,,,0000104169-26-000055,2026-03-13,https://www.sec.gov/Archives/edgar/data/104169/000010416926000055/wmt-20260131.htm,OK
Exxon Mobil Corporation,XOM,0000034088,Energy,2023-12-31,2023,344582,,,36010,,,,0000034088-26-000045,2026-02-25,https://www.sec.gov/Archives/edgar/data/34088/000003408826000045/xom-20251231.htm,NOT_REPORTED:GROSS_PROFIT|OPERATING_INCOME;REVENUE=TOTAL_REVENUES_AND_OTHER_INCOME
Exxon Mobil Corporation,XOM,0000034088,Energy,2024-12-31,2024,349585,,,33680,,,,0000034088-26-000045,2026-02-25,https://www.sec.gov/Archives/edgar/data/34088/000003408826000045/xom-20251231.htm,NOT_REPORTED:GROSS_PROFIT|OPERATING_INCOME;REVENUE=TOTAL_REVENUES_AND_OTHER_INCOME
Exxon Mobil Corporation,XOM,0000034088,Energy,2025-12-31,2025,332238,,,28844,,,,0000034088-26-000045,2026-02-25,https://www.sec.gov/Archives/edgar/data/34088/000003408826000045/xom-20251231.htm,NOT_REPORTED:GROSS_PROFIT|OPERATING_INCOME;REVENUE=TOTAL_REVENUES_AND_OTHER_INCOME
"Tesla, Inc.",TSLA,0001318605,Automotive / Energy,2023-12-31,2023,96773,17660,8891,14997,,,,0001628280-26-003952,2026-01-29,https://www.sec.gov/Archives/edgar/data/1318605/000162828026003952/tsla-20251231.htm,OK
"Tesla, Inc.",TSLA,0001318605,Automotive / Energy,2024-12-31,2024,97690,17450,7076,7091,,,,0001628280-26-003952,2026-01-29,https://www.sec.gov/Archives/edgar/data/1318605/000162828026003952/tsla-20251231.htm,OK
"Tesla, Inc.",TSLA,0001318605,Automotive / Energy,2025-12-31,2025,94827,17094,4355,3794,,,,0001628280-26-003952,2026-01-29,https://www.sec.gov/Archives/edgar/data/1318605/000162828026003952/tsla-20251231.htm,OK
