Date,Mkt_RF,SMB,HML,RMW,CMA,RF
201309,3.77,2.67,-1.2,-0.77,-1.3,0.0
201310,4.18,-1.51,1.1,2.66,0.88,0.0
201311,3.12,1.35,0.27,0.13,0.08,0.0
201312,2.81,-0.53,-0.3,-0.49,0.08,0.0
201401,-3.32,0.59,-2.1,-3.97,-1.36,0.0
201402,4.65,0.13,-0.46,-0.25,-0.43,0.0
201403,0.43,-1.17,5.06,2.14,1.89,0.0
201404,-0.19,-4.17,1.07,3.48,1.04,0.0
201405,2.06,-1.88,-0.19,0.09,-1.06,0.0
201406,2.61,3.08,-0.76,-1.95,-1.94,0.0
201407,-2.04,-4.25,0.01,0.94,0.47,0.0
201408,4.24,0.28,-0.58,-0.63,-0.69,0.0
201409,-1.97,-3.79,-1.23,1.12,-0.52,0.0
201410,2.52,3.78,-1.68,-0.47,-0.17,0.0
201411,2.55,-2.3,-2.99,1.4,0.19,0.0
201412,-0.06,2.87,2.06,-1.16,0.88,0.0
201501,-3.11,-0.89,-3.47,1.67,-1.66,0.0
201502,6.13,0.22,-1.83,-1.06,-1.76,0.0
201503,-1.12,3.04,-0.46,0.1,-0.51,0.0
201504,0.59,-3.02,1.85,-0.14,-0.49,0.0
201505,1.36,0.8,-1.36,-1.73,-0.73,0.0
201506,-1.53,2.85,-0.79,0.5,-1.48,0.0
201507,1.54,-4.55,-4.14,0.04,-2.54,0.0
201508,-6.04,0.41,2.66,0.76,1.25,0.0
201509,-3.08,-2.79,0.53,1.83,-0.47,0.0
201510,7.75,-2.17,-0.06,0.81,0.45,0.0
201511,0.56,3.36,-0.5,-2.59,-1.11,0.0
201512,-2.17,-2.99,-2.6,0.32,0.1,0.01
201601,-5.77,-3.42,2.08,2.6,3.04,0.01
201602,-0.07,0.95,-0.49,3.27,2.06,0.02
201603,6.96,1.1,1.15,0.82,-0.06,0.02
201604,0.92,1.18,3.26,-2.88,1.97,0.01
201605,1.78,-0.72,-1.82,-1.01,-2.54,0.01
201606,-0.05,0.49,-1.46,1.19,1.96,0.02
201607,3.95,2.64,-1.09,1.32,-1.24,0.02
201608,0.5,1.73,3.37,-1.31,-0.35,0.02
201609,0.25,1.76,-1.47,-2.31,-0.06,0.02
201610,-2.02,-4.04,4.14,1.19,0.21,0.02
201611,4.86,6.8,8.32,-0.06,3.78,0.01
201612,1.81,0.42,3.6,0.98,-0.29,0.03
201701,1.94,-1.26,-2.77,-0.01,-0.94,0.04
201702,3.57,-2.14,-1.82,0.79,-1.74,0.04
201703,0.17,0.78,-3.17,0.66,-1.04,0.03
201704,1.09,0.48,-1.87,1.99,-1.58,0.05
201705,1.06,-3.07,-3.81,1.21,-1.93,0.06
201706,0.78,2.49,1.35,-1.99,-0.05,0.06
201707,1.87,-1.57,-0.26,-0.58,-0.15,0.07
201708,0.16,-1.82,-2.22,0.24,-2.43,0.09
201709,2.51,4.8,3.02,-1.35,1.62,0.09
201710,2.25,-1.94,-0.08,0.96,-3.33,0.09
201711,3.12,-0.43,-0.04,3.12,0.01,0.08
201712,1.06,-1.04,0.11,0.68,1.65,0.09
201801,5.58,-3.11,-1.55,-0.41,-0.89,0.11
201802,-3.65,0.34,-1.09,0.53,-2.25,0.11
201803,-2.35,3.5,0.0,-0.6,-0.01,0.12
201804,0.29,0.93,0.56,-2.36,1.18,0.14
201805,2.65,4.75,-3.21,-2.04,-1.43,0.14
201806,0.48,0.88,-2.4,0.73,0.34,0.14
201807,3.19,-1.95,0.47,1.55,0.4,0.16
201808,3.44,0.64,-4.13,-0.26,-2.47,0.16
201809,0.06,-2.52,-1.32,0.6,1.26,0.15
201810,-7.68,-4.53,3.47,0.82,3.42,0.19
201811,1.69,-0.84,0.27,-0.63,0.33,0.18
201812,-9.55,-3.05,-1.49,-0.14,0.15,0.19
201901,8.41,3.08,-0.6,-0.7,-1.36,0.21
201902,3.4,1.78,-2.83,0.23,-1.47,0.18
201903,1.1,-3.58,-4.04,0.87,-1.03,0.19
201904,3.96,-1.15,1.96,1.72,-2.18,0.21
201905,-6.94,-1.51,-2.35,-0.43,1.78,0.21
201906,6.93,0.36,-1.08,0.94,-0.38,0.18
201907,1.19,-1.89,0.17,-0.04,0.34,0.19
201908,-2.58,-3.3,-5.05,0.41,-0.88,0.16
201909,1.43,0.27,6.81,1.98,3.5,0.18
201910,2.06,0.22,-2.04,0.39,-0.99,0.15
201911,3.87,0.52,-1.8,-1.52,-1.24,0.12
201912,2.77,0.96,1.93,0.19,1.29,0.14
202001,-0.11,-4.4,-6.37,-1.24,-2.34,0.13
202002,-8.13,-0.05,-4.05,-1.67,-2.49,0.12
202003,-13.39,-8.42,-14.17,-1.33,1.21,0.12
202004,13.65,2.81,-1.18,2.65,-1.03,0.0
202005,5.58,1.92,-4.92,0.66,-3.28,0.01
202006,2.45,1.93,-2.19,-0.02,0.34,0.01
202007,5.77,-3.11,-1.27,0.61,1.07,0.01
